NOM_COMM;XX;YY;horse
OUESSANT;51700;2410400;23
ILE-MOLENE;60200;2402400;0
ILE-DE-SEIN;64300;2362100;0
LE CONQUET;74400;2396000;80
LAMPAUL-PLOUARZEL;75200;2407200;10
PORSPODER;76500;2412500;400
TREBABU;76800;2398100;29
PLOGOFF;77400;2360600;53
PLOUGONVELIN;77700;2395900;51
LANILDUT;77900;2410500;21
PLOUARZEL;78300;2405600;98
PLOUMOGUER;78300;2401200;40
LANDUNVEZ;78600;2416300;132
CLEDEN-CAP-SIZUN;79200;2362500;19
BRELES;81200;2408900;42
PLOURIN;81700;2412500;125
PRIMELIN;82800;2359400;15
LOCMARIA-PLOUZANE;82900;2397600;56
PLOUDALMEZEAU;83100;2416200;101
GOULIEN;84000;2362600;5
LAMPAUL-PLOUDALMEZEAU;84900;2417900;27
LANRIVOARE;84900;2408100;115
SAINT-RENAN;85300;2403500;53
ESQUIBIEN;85800;2359100;21
CAMARET-SUR-MER;86600;2385800;62
PLOUZANE;86700;2398000;150
SAINT-PABU;87000;2418700;57
AUDIERNE;87300;2358500;13
TREOUERGAT;87600;2411000;5
PLOUGUIN;88700;2414800;91
ROSCANVEL;89100;2391200;51
GUILERS;89800;2402400;226
MILIZAC;89800;2406800;92
GUIPRONVEL;90000;2410400;2
BEUZEC-CAP-SIZUN;90500;2363500;64
LANDEDA;90500;2421200;99
PONT-CROIX;91100;2360700;51
PLOUHINEC;91600;2357000;184
TREGLONOU;92100;2416500;144
COAT-MEAL;92300;2411900;64
BOHARS;93000;2403500;59
CROZON;93300;2382600;181
BREST;94000;2399900;482
LANNILIS;94100;2418800;91
BOURG-BLANC;95200;2410400;71
MEILARS;95700;2361300;0
MAHALON;96700;2358000;64
PLOZEVET;96900;2353100;63
PLOUGUERNEAU;97000;2422300;261
LANVEOC;97200;2385700;61
GOUESNOU;97400;2404700;36
PLOUVIEN;98100;2415100;161
POULLAN-SUR-MER;98700;2363500;13
PLOVAN;100100;2347200;28
POULDREUZIC;100100;2350400;84
PENMARCH;100500;2333700;76
GUILER-SUR-GOYEN;100800;2356500;16
PLABENNEC;101100;2409700;193
TREGUENNEC;101300;2341700;17
TREOGAT;101400;2344600;30
LE RELECQ-KERHUON;101500;2399600;70
GUIPAVAS;102100;2402600;139
KERNILIS;102500;2418700;50
LOC-BREVALAIRE;102600;2416300;6
PLOUGASTEL-DAOULAS;102600;2394800;248
GUISSENY;102900;2423300;158
LANDUDEC;103100;2354000;48
TELGRUC-SUR-MER;103200;2380500;82
SAINT-JEAN-TROLIMON;103300;2339100;29
POULDERGAT;103700;2358900;23
DOUARNENEZ;103900;2363400;108
PLOMEUR;104100;2336300;141
LE DRENNEC;104300;2413900;40
GUILVINEC;104400;2332200;9
LANARVILY;104400;2417000;26
PEUMERIT;105000;2348300;52
KERSAINT-PLABENNEC;105100;2407700;48
KERLOUAN;105500;2426500;92
SAINT-FREGANT;105500;2421100;24
TREFFIAGAT;106400;2332400;10
LE FOLGOET;106700;2417400;28
LANDEVENNEC;106900;2385500;131
PLONEOUR-LANVERN;107000;2343900;249
SAINT-DIVY;107200;2404800;58
KERNOUES;107600;2420400;55
GOURLIZON;107700;2356900;1
PLOGASTEL-SAINT-GERMAIN;107700;2351500;69
LOPERHET;107800;2396900;180
ARGOL;108000;2381600;22
SAINT-THONAN;108100;2407300;58
LA FOREST-LANDERNEAU;108200;2402500;78
LE JUCH;108300;2360200;37
SAINT-NIC;108600;2377500;12
KERLAZ;108800;2364200;5
