"";"grid_no";"Code2";"year";"month";"Hrel50_ee";"Hrel5_ee";"Hrel95_ee";"Vrel50_ee";"Vrel5_ee";"Vrel95_ee";"tot_grid"
"1";100085;"FR22";2011;7;0,001994927;0,001631953;0,002399332;5,36e-05;2,6e-06;0,000218829;33
"2";100085;"FR22";2010;2;0;0;0;0;0;0;33
"3";100085;"FR22";2010;1;0;0;0;0;0;0;33
"4";100085;"FR22";2011;12;0,000809933;0,00065704;0,000983415;2,57e-06;1,23e-07;1,08e-05;33
"5";100085;"FR22";2011;10;0,001226733;0,000988141;0,001502005;7,07e-07;3,33e-08;2,97e-06;33
"6";100085;"FR22";2010;6;0;0;0;0;0;0;33
"7";100085;"FR22";2011;8;0,001142101;0,000903817;0,00142058;1,59e-05;7,16e-07;6,5e-05;33
"8";100085;"FR22";2012;11;0,000668409;0,000546831;0,000802468;5,17e-06;2,32e-07;2,14e-05;33
"9";100085;"FR22";2011;1;0;0;0;0;0;0;33
"10";100085;"FR22";2011;5;0;0;0;0;0;0;33
"11";100085;"FR22";2010;12;0,000864946;0,000698842;0,001056018;9,36e-07;4,46e-08;3,92e-06;33
"12";100085;"FR22";2010;3;0;0;0;0;0;0;33
"13";100085;"FR22";2011;6;0;0;0;0;0;0;33
"14";100085;"FR22";2012;8;0,000349678;0,000283933;0,000424028;7,11e-07;3,21e-08;2,91e-06;33
"15";100085;"FR22";2011;4;0;0;0;0;0;0;33
"16";100085;"FR22";2011;2;0;0;0;0;0;0;33
"17";100085;"FR22";2010;4;0;0;0;0;0;0;33
"18";100085;"FR22";2012;7;0,001210852;0,000977835;0,001478648;1,41e-06;6,83e-08;5,76e-06;33
"19";100085;"FR22";2012;3;0;0;0;0;0;0;33
"20";100085;"FR22";2010;11;0,001425532;0,001161104;0,001721913;5,87e-06;2,64e-07;2,43e-05;33
"21";100085;"FR22";2012;9;0,001426232;0,001149032;0,001747162;1,16e-06;5,59e-08;4,86e-06;33
"22";100085;"FR22";2012;2;0;0;0;0;0;0;33
"23";100085;"FR22";2010;5;0;0;0;0;0;0;33
"24";100085;"FR22";2011;9;0,001409194;0,001129731;0,001732097;0;0;0;33
"25";100085;"FR22";2011;11;0,000748132;0,000602928;0,000916473;7,05e-07;3,17e-08;2,92e-06;33
"26";100085;"FR22";2012;5;0;0;0;0;0;0;33
"27";100085;"FR22";2010;8;0,001091855;0,000859343;0,001366076;1,52e-05;6,84e-07;6,21e-05;33
"28";100085;"FR22";2012;12;0,000478611;0,000383721;0,000588531;0;0;0;33
"29";100085;"FR22";2012;1;0;0;0;0;0;0;33
"30";100085;"FR22";2010;7;0,001632965;0,001333844;0,001965268;5,65e-06;2,73e-07;2,3e-05;33
"31";100085;"FR22";2012;10;0,000670524;0,00054806;0,000807356;7,3e-06;3,45e-07;3,07e-05;33
"32";100085;"FR22";2011;3;0;0;0;0;0;0;33
"33";100085;"FR22";2012;4;0;0;0;0;0;0;33
"34";100085;"FR22";2012;6;0;0;0;0;0;0;33
"35";100085;"FR22";2010;9;0,000337949;0,000275904;0,000405237;3,02e-06;1,45e-07;1,26e-05;33
"36";100085;"FR22";2010;10;0,000880096;0,000716782;0,001064846;3,3e-06;1,56e-07;1,39e-05;33
"37";100086;"FR22";2011;10;0,001226733;0,000988141;0,001502005;7,07e-07;3,33e-08;2,97e-06;33
"38";100086;"FR22";2012;9;0,001426232;0,001149032;0,001747162;1,16e-06;5,59e-08;4,86e-06;33
"39";100086;"FR22";2012;12;0,000478611;0,000383721;0,000588531;0;0;0;33
"40";100086;"FR22";2011;5;0;0;0;0;0;0;33
"41";100086;"FR22";2010;11;0,001425532;0,001161104;0,001721913;5,87e-06;2,64e-07;2,43e-05;33
"42";100086;"FR22";2010;2;0;0;0;0;0;0;33
"43";100086;"FR22";2011;1;0;0;0;0;0;0;33
"44";100086;"FR22";2012;6;0;0;0;0;0;0;33
"45";100086;"FR22";2011;9;0,001409194;0,001129731;0,001732097;0;0;0;33
"46";100086;"FR22";2010;7;0,001632965;0,001333844;0,001965268;5,65e-06;2,73e-07;2,3e-05;33
"47";100086;"FR22";2011;6;0;0;0;0;0;0;33
"48";100086;"FR22";2010;8;0,001091855;0,000859343;0,001366076;1,52e-05;6,84e-07;6,21e-05;33
"49";100086;"FR22";2012;8;0,000349678;0,000283933;0,000424028;7,11e-07;3,21e-08;2,91e-06;33
"50";100086;"FR22";2010;3;0;0;0;0;0;0;33
"51";100086;"FR22";2012;10;0,000670524;0,00054806;0,000807356;7,3e-06;3,45e-07;3,07e-05;33
"52";100086;"FR22";2010;4;0;0;0;0;0;0;33
"53";100086;"FR22";2011;12;0,000809933;0,00065704;0,000983415;2,57e-06;1,23e-07;1,08e-05;33
"54";100086;"FR22";2012;1;0;0;0;0;0;0;33
"55";100086;"FR22";2010;9;0,000337949;0,000275904;0,000405237;3,02e-06;1,45e-07;1,26e-05;33
"56";100086;"FR22";2012;11;0,000668409;0,000546831;0,000802468;5,17e-06;2,32e-07;2,14e-05;33
"57";100086;"FR22";2011;3;0;0;0;0;0;0;33
"58";100086;"FR22";2011;11;0,000748132;0,000602928;0,000916473;7,05e-07;3,17e-08;2,92e-06;33
