Community;week_year_num;decl_Syndrome1
2;1;0
6;1;0
7;1;0
14;1;0
25;1;0
26;1;0
36;1;0
42;1;0
43;1;0
45;1;0
48;1;0
50;1;0
53;1;0
56;1;0
61;1;0
63;1;0
65;1;0
66;1;0
74;1;0
76;1;0
78;1;0
80;1;0
81;1;0
82;1;0
87;1;0
88;1;0
91;1;0
92;1;0
99;1;0
100;1;0
104;1;0
105;1;0
106;1;0
108;1;0
109;1;0
114;1;0
115;1;0
123;1;0
130;1;0
136;1;0
137;1;0
141;1;0
142;1;0
147;1;0
149;1;0
150;1;0
152;1;0
153;1;0
154;1;0
155;1;0
158;1;0
162;1;0
168;1;0
169;1;0
172;1;0
175;1;0
179;1;0
180;1;0
182;1;0
183;1;0
184;1;0
188;1;0
194;1;0
200;1;0
202;1;0
208;1;0
209;1;0
213;1;0
216;1;0
217;1;0
223;1;0
225;1;0
229;1;0
234;1;0
235;1;0
237;1;0
239;1;0
244;1;0
245;1;0
249;1;0
258;1;0
266;1;0
270;1;0
272;1;0
275;1;0
276;1;0
280;1;0
281;1;0
284;1;0
285;1;0
287;1;0
288;1;0
290;1;0
291;1;0
299;1;0
300;1;0
302;1;0
303;1;0
312;1;0
315;1;0
316;1;0
317;1;0
322;1;0
327;1;0
328;1;0
334;1;0
338;1;0
342;1;0
344;1;0
346;1;0
350;1;0
353;1;0
358;1;0
359;1;0
361;1;0
364;1;0
370;1;0
373;1;0
374;1;0
375;1;0
376;1;0
381;1;0
386;1;0
388;1;0
389;1;0
391;1;0
396;1;0
398;1;0
399;1;0
400;1;0
401;1;0
402;1;0
403;1;0
404;1;0
406;1;0
408;1;0
412;1;0
414;1;0
417;1;0
418;1;0
428;1;0
432;1;0
433;1;0
434;1;0
436;1;0
440;1;0
444;1;0
445;1;0
449;1;0
451;1;0
453;1;0
457;1;0
462;1;0
463;1;0
464;1;0
465;1;0
467;1;0
468;1;0
473;1;0
476;1;0
477;1;0
480;1;0
486;1;0
489;1;0
503;1;0
507;1;0
508;1;0
511;1;0
512;1;0
518;1;0
519;1;0
521;1;0
527;1;0
531;1;0
538;1;0
540;1;0
541;1;0
546;1;0
548;1;0
550;1;0
552;1;0
553;1;0
564;1;0
565;1;0
566;1;0
571;1;0
573;1;0
574;1;0
576;1;0
577;1;0
583;1;0
584;1;0
586;1;0
588;1;0
589;1;0
590;1;0
592;1;0
596;1;0
597;1;0
604;1;0
606;1;0
607;1;0
610;1;0
611;1;0
612;1;0
619;1;0
620;1;0
622;1;0
628;1;0
630;1;0
636;1;0
637;1;0
638;1;0
639;1;0
640;1;0
643;1;0
646;1;0
647;1;0
648;1;0
651;1;0
653;1;0
655;1;0
657;1;0
665;1;0
674;1;0
676;1;0
690;1;0
692;1;0
696;1;0
704;1;0
705;1;0
707;1;0
712;1;0
718;1;0
723;1;0
724;1;0
729;1;0
730;1;0
732;1;0
734;1;0
738;1;0
742;1;0
752;1;0
753;1;0
759;1;0
760;1;0
762;1;0
766;1;0
772;1;0
