annee;date_decl;ville_stat;N_INSEE;nom_chev;race;age;sexe;Utilisation;hve1;hvesp;WN;cas;decl,
2010;01.01.2010;BRAY_EN_VAL;45051;DOGE_OCO;63;25;3;1;0;NA;NA;0;1,
2010;01.02.2010;GUERANDE;44069;HERMINE_COTONARD;97;15;1;2;1;0;0;1;1,
2012;01.02.2012;LESIGNY;77249;RIMBAUD;89;3;22;1;0;0;0;0;1,
2007;01.03.2007;ISNEAUVILLE;76377;PECOS;97;4;3;1;0;NA;NA;0;1,
2006;01.04.2006;HOUDEMONT;54265;VAL;97;10;2;NA;0;0;NA;0;1,
2010;01.06.2010;CELLE_LEVESCAULT;86045;QUICK_DE_BOISSY;18;6;2;2;0;1;0;1;1,
2012;01.06.2012;NICORPS;50376;SLONIER;97;2;7;5;NA;NA;NA;0;1,
2008;01.08.2008;FREMAINVILLE;95253;DAISY;18;15;1;4;NA;NA;NA;0;1,
2008;01.11.2008;LE_BROC;63054;LAIOS;97;9;3;4;0;0;0;0;1,
2008;01.12.2008;CLUNY;71137;PATCHANKA;100;4;1;1;0;0;NA;0;1,
2009;02.01.2009;LE_PIN_AU_HARAS;61328;EL_OUASSAL;20;17;2;3;1;0;NA;1;1,
2008;02.02.2008;LE_BOUILLON;61056;PIROUETTE;15;16;1;2;0;NA;NA;0;1,
2010;02.02.2010;BEYNAC;87015;JESSE;NA;9;1;1;0;0;0;0;1,
2011;02.03.2011;LA_TESSOUALLE;49343;SUELTO;75;12;2;4;0;0;0;0;1,
2007;02.04.2007;GONFREVILLE;50208;POUETTE;100;12;1;3;NA;1;NA;1;1,
2012;02.04.2012;MAIZEROY;57431;PIAF_;97;2;31;4;0;0;0;0;1,
2008;02.05.2008;GALLARGUES_LE_MONTUEUX;30123;RUISSO_DE_SAINT_GEORGES;28;3;2;1;NA;NA;NA;0;1,
2010;02.05.2010;MOUSSY_LE_NEUF;77322;BELLA_BRENTANA;90;5;1;NA;0;NA;0;0;1,
2007;02.07.2007;FONTENAY_LE_COMTE;85092;DEAR_LA_LA;97;16;1;1;0;NA;NA;0;1,
2009;02.07.2009;MONTLOUIS_;18152;COQUETTE;15;NA;1;4;0;NA;0;0;1,
2010;02.08.2010;SAINT_LAURENT_DES_HOMMES;24436;PRINCE_DES_BOIS;80;7;3;1;0;0;0;0;1,
2010;02.08.2010;SAINT_OUEN_EN_CHAMPAGNE;72307;PELUCHE;100;5;2;2;0;0;0;0;1,
2009;03.01.2009;SOUMERAS;17432;VANDEC;97;22;2;6;0;0;0;0;1,
2012;03.01.2012;RICHERENCHES;84097;SUKASH;92;2;7;5;0;0;0;0;1,
2009;03.04.2009;BOULOGNE_BILLANCOURT;92012;FLIC_DE_LA_FRESNAY;75;13;2;1;0;0;0;0;1,
2006;03.05.2006;GEFFOSSES;50198;RIVAGE;34;1;3;4;0;NA;NA;0;1,
2011;03.05.2011;JOUY_EN_JOSAS;78322;MIGNONNE_DES_FORETS;116;11;1;5;0;0;0;0;1,
2012;03.05.2012;BREVAL;78107;QATAR;97;2;7;5;0;1;0;1;1,
2012;03.07.2012;PARISOT;81202;IYLDIRIM;1;2;12;4;0;1;0;1;1,
2009;03.08.2009;BELLEGARDE;1033;NUMERO_UN_;97;8;2;1;1;0;0;1;1,
2012;03.08.2012;CAVAILLON;84035;BIMBO;28;3;1.5;3;0;0;0;0;1,
2012;03.09.2012;BOIS_GUILLAUME;76108;MACARENA;100;1;20;1;0;NA;NA;0;1,
2009;03.11.2009;ASPRIERES;12012;MAXWELL;75;9;3;1;0;0;0;0;1,
2008;03.12.2008;GEMENOS;13042;RATZINGER_DE_LA_SORGE;89;3;1;4;1;NA;0;1;1,
2008;04.01.2008;CARENTAN;50099;LORD_VIKING;108;9;3;2;0;NA;0;0;1,
2010;04.03.2010;MONTBRUN_LAURAGAIS;31366;ALOA;18;4;1;4;0;NA;0;0;1,
2009;04.04.2009;CHAMBLY;60139;LADY_CATINA;100;10;1;4;1;0;0;1;1,
2011;04.04.2011;GONNEVILLE_SUR_MER;14305;LUCKY;97;12;2;4;0;0;0;0;1,
2010;04.06.2010;MOYAUX;14460;VENISE_COSTARDIERE;108;1;1;1;0;1;0;1;1,
2012;04.06.2012;IZERNORE;1192;PEPSI;100;1;9;1;0;0;0;0;1,
2007;04.07.2007;FONTENAY_LE_COMTE;85092;CALCINE;97;17;1;1;0;0;NA;0;1,
2010;04.07.2010;SAINT_AUBIN_SUR_GAILLON;27517;N_CLIMAX;NA;0.4;3;1;0;1;0;1;1,
2008;04.08.2008;COUHE_VERAC;86082;SULTAN;15;2;3;3;0;NA;NA;0;1,
2006;04.09.2006;VENOY;89438;FAGEOLLE;75;12;1;4;0;0;NA;0;1,
2011;04.10.2011;NEUVY_AU_HOULME;61308;N10_FREEDONIA;90;1.5;1;3;0;1;0;1;1,
2011;04.11.2011;CHAMARET;26070;JONQUILLE_DE_L_OR;28;14;1;1;NA;NA;NA;0;1,
2011;04.11.2011;LAUZUN;47142;BLUE_A_FUSE;90;NA;1;3;0;0;0;0;1,
2012;04.11.2012;ALERIA;2B009;MAVER_SURA;91;1;9;1;NA;NA;1;1;1,
2008;04.12.2008;MALISSARD;26170;PROVIDENCE;116;5;1;2;0;0;NA;0;1,
2010;04.12.2010;ONS_EN_BRAY;60477;RUBENS;108;5;2;2;0;0;0;0;1,
2009;05.03.2009;LE_BOUILLON;61056;PIVOINE;15;6;1;3;0;1;0;1;1,
2010;05.05.2010;ECOMMOY;72124;DAMZEL;NA;10;1;2;0;NA;0;0;1,
2009;05.08.2009;DAGNEUX_;1142;PHELAL;12;6;2;4;0;0;0;0;1,
2009;05.08.2009;MORAINVILLE_JOUVEAUX;27415;N_POULAIN_DE_JURANDE_;108;0.5;3;3;0;1;0;1;1,
2008;05.09.2008;SAINTE_LIVRADE_SUR_LOT;47252;AMKE;49;0.4;1;NA;0;NA;NA;0;1,
2009;05.11.2009;ARLES;13004;MAESTRO;NA;5;NA;NA;NA;NA;0;0;1,
2010;05.11.2010;PLOUVORN;29210;AMIRAL;108;0.5;3;1;0;1;0;1;1,
2010;05.11.2010;SAINT_GELY_DU_FESC;34255;GOYA;116;24;2;2;0;0;NA;0;1,
2006;05.12.2006;LORGUES;83072;TITUS;15;12;2;NA;0;NA;0;0;1,
2006;05.12.2006;LORGUES;83072;NINA;97;26;1;NA;0;NA;0;0;1,
