"";"Date";"month_year";"day_year";"year";"day_abs";"week_abs";"month_abs";"week_year";"week_year_num"
"1";2006-01-01;"01";"01";"2006";1;1;1;"2005-W52";"52"
"2";2006-01-02;"01";"02";"2006";2;2;1;"2006-W01";"01"
"3";2006-01-03;"01";"03";"2006";3;2;1;"2006-W01";"01"
"4";2006-01-04;"01";"04";"2006";4;2;1;"2006-W01";"01"
"5";2006-01-05;"01";"05";"2006";5;2;1;"2006-W01";"01"
"6";2006-01-06;"01";"06";"2006";6;2;1;"2006-W01";"01"
"7";2006-01-07;"01";"07";"2006";7;2;1;"2006-W01";"01"
"8";2006-01-08;"01";"08";"2006";8;2;1;"2006-W01";"01"
"9";2006-01-09;"01";"09";"2006";9;3;1;"2006-W02";"02"
"10";2006-01-10;"01";"10";"2006";10;3;1;"2006-W02";"02"
"11";2006-01-11;"01";"11";"2006";11;3;1;"2006-W02";"02"
"12";2006-01-12;"01";"12";"2006";12;3;1;"2006-W02";"02"
"13";2006-01-13;"01";"13";"2006";13;3;1;"2006-W02";"02"
"14";2006-01-14;"01";"14";"2006";14;3;1;"2006-W02";"02"
"15";2006-01-15;"01";"15";"2006";15;3;1;"2006-W02";"02"
"16";2006-01-16;"01";"16";"2006";16;4;1;"2006-W03";"03"
"17";2006-01-17;"01";"17";"2006";17;4;1;"2006-W03";"03"
"18";2006-01-18;"01";"18";"2006";18;4;1;"2006-W03";"03"
"19";2006-01-19;"01";"19";"2006";19;4;1;"2006-W03";"03"
"20";2006-01-20;"01";"20";"2006";20;4;1;"2006-W03";"03"
"21";2006-01-21;"01";"21";"2006";21;4;1;"2006-W03";"03"
"22";2006-01-22;"01";"22";"2006";22;4;1;"2006-W03";"03"
"23";2006-01-23;"01";"23";"2006";23;5;1;"2006-W04";"04"
"24";2006-01-24;"01";"24";"2006";24;5;1;"2006-W04";"04"
"25";2006-01-25;"01";"25";"2006";25;5;1;"2006-W04";"04"
"26";2006-01-26;"01";"26";"2006";26;5;1;"2006-W04";"04"
"27";2006-01-27;"01";"27";"2006";27;5;1;"2006-W04";"04"
"28";2006-01-28;"01";"28";"2006";28;5;1;"2006-W04";"04"
"29";2006-01-29;"01";"29";"2006";29;5;1;"2006-W04";"04"
"30";2006-01-30;"01";"30";"2006";30;6;1;"2006-W05";"05"
"31";2006-01-31;"01";"31";"2006";31;6;1;"2006-W05";"05"
"32";2006-02-01;"02";"01";"2006";32;6;1;"2006-W05";"05"
"33";2006-02-02;"02";"02";"2006";33;6;1;"2006-W05";"05"
"34";2006-02-03;"02";"03";"2006";34;6;1;"2006-W05";"05"
"35";2006-02-04;"02";"04";"2006";35;6;1;"2006-W05";"05"
"36";2006-02-05;"02";"05";"2006";36;6;1;"2006-W05";"05"
"37";2006-02-06;"02";"06";"2006";37;7;1;"2006-W06";"06"
"38";2006-02-07;"02";"07";"2006";38;7;1;"2006-W06";"06"
"39";2006-02-08;"02";"08";"2006";39;7;1;"2006-W06";"06"
"40";2006-02-09;"02";"09";"2006";40;7;1;"2006-W06";"06"
"41";2006-02-10;"02";"10";"2006";41;7;1;"2006-W06";"06"
"42";2006-02-11;"02";"11";"2006";42;7;1;"2006-W06";"06"
"43";2006-02-12;"02";"12";"2006";43;7;1;"2006-W06";"06"
"44";2006-02-13;"02";"13";"2006";44;8;1;"2006-W07";"07"
"45";2006-02-14;"02";"14";"2006";45;8;1;"2006-W07";"07"
"46";2006-02-15;"02";"15";"2006";46;8;1;"2006-W07";"07"
