year;N_Community;date.x;date_decl;syndrome
2006;711;2006-02-04;04.02.2006;1
2010;1042;2010-11-27;27.11.2010;1
2012;786;2012-01-16;16.01.2012;1
2013;170;2013-03-20;20.03.2013;1
2006;686;2006-09-15;15.09.2006;1
2010;1634;2010-05-12;12.05.2010;1
2012;1576;2012-02-27;27.02.2012;1
2012;1241;2012-10-21;21.10.2012;1
2009;697;2009-05-03;03.05.2009;1
2012;1178;2012-04-07;07.04.2012;1
2011;1108;2011-10-19;19.10.2011;1
2007;1216;2007-06-19;19.06.2007;1
2010;1165;2010-03-24;24.03.2010;1
2009;1398;2009-04-22;22.04.2009;1
2013;580;2013-01-11;11.01.2013;1
2009;561;2009-09-22;22.09.2009;1
2007;1118;2007-01-15;15.01.2007;1
2013;143;2013-09-20;20.09.2013;1
2009;457;2009-07-26;26.07.2009;1
2008;1000;2008-12-13;13.12.2008;1
2009;679;2009-04-06;06.04.2009;1
2006;309;2006-11-16;16.11.2006;1
2011;1446;2011-06-26;26.06.2011;1
2010;197;2010-07-24;24.07.2010;1
2010;1053;2010-01-08;08.01.2010;1
2008;810;2008-04-12;12.04.2008;1
2013;868;2013-05-07;07.05.2013;1
2013;552;2013-03-15;15.03.2013;1
2008;997;2008-03-12;12.03.2008;1
2009;1293;2009-11-21;21.11.2009;1
2007;243;2007-10-18;18.10.2007;1
2010;1338;2010-12-03;03.12.2010;1
2010;1636;2010-09-29;29.09.2010;1
2011;1362;2011-03-21;21.03.2011;1
2006;205;2006-08-20;20.08.2006;1
2006;777;2006-12-01;01.12.2006;1
2007;989;2007-10-31;31.10.2007;1
2009;7;2009-11-20;20.11.2009;1
2007;1619;2007-04-07;07.04.2007;1
2006;272;2006-10-13;13.10.2006;1
2010;283;2010-08-29;29.08.2010;1
2013;1245;2013-05-21;21.05.2013;1
2011;996;2011-04-01;01.04.2011;1
2011;185;2011-12-02;02.12.2011;1
2011;1235;2011-06-05;05.06.2011;1
2013;689;2013-03-20;20.03.2013;1
2012;455;2012-11-30;30.11.2012;1
2012;1063;2012-12-11;11.12.2012;1
2011;1423;2011-07-10;10.07.2011;1
2011;506;2011-08-23;23.08.2011;1
2009;1029;2009-04-19;19.04.2009;1
2008;1668;2008-09-20;20.09.2008;1
2007;701;2007-10-24;24.10.2007;1
2007;190;2007-10-17;17.10.2007;1
2011;1149;2011-03-24;24.03.2011;1
2007;1486;2007-06-14;14.06.2007;1
2008;610;2008-11-28;28.11.2008;1
2006;1583;2006-01-01;01.01.2006;1
2010;474;2010-06-29;29.06.2010;1
2006;1103;2006-01-05;05.01.2006;1
2013;666;2013-10-28;28.10.2013;1
2013;1625;2013-05-25;25.05.2013;1
2013;1401;2013-05-24;24.05.2013;1
2009;699;2009-03-02;02.03.2009;1
2009;877;2009-11-07;07.11.2009;1
2012;1432;2012-06-06;06.06.2012;1
2008;640;2008-09-21;21.09.2008;1
2012;1283;2012-11-28;28.11.2012;1
2008;55;2008-03-27;27.03.2008;1
2009;509;2009-06-24;24.06.2009;1
2006;416;2006-11-20;20.11.2006;1
2010;883;2010-04-26;26.04.2010;1
2008;393;2008-08-05;05.08.2008;1
2007;1681;2007-08-29;29.08.2007;1
2010;1527;2010-01-17;17.01.2010;1
2011;57;2011-06-03;03.06.2011;1
2010;1418;2010-08-29;29.08.2010;1
2012;1596;2012-12-18;18.12.2012;1
2008;264;2008-08-02;02.08.2008;1
2012;174;2012-10-18;18.10.2012;1
2013;1173;2013-09-15;15.09.2013;1
2007;173;2007-03-22;22.03.2007;1
2006;1266;2006-06-21;21.06.2006;1
2012;977;2012-09-07;07.09.2012;1
2008;1542;2008-04-14;14.04.2008;1
2011;257;2011-03-07;07.03.2011;1
2006;516;2006-05-28;28.05.2006;1
2011;839;2011-09-09;09.09.2011;1
2008;770;2008-03-01;01.03.2008;1
2010;81;2010-04-12;12.04.2010;1
2006;1654;2006-08-04;04.08.2006;1
2013;46;2013-11-05;05.11.2013;1
2009;54;2009-09-28;28.09.2009;1
2012;927;2012-09-16;16.09.2012;1
2008;438;2008-04-26;26.04.2008;1
2013;369;2013-06-27;27.06.2013;1
2007;199;2007-07-28;28.07.2007;1
2008;754;2008-07-01;01.07.2008;1
